Company Tickers,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,FB,FB,FB,FB,FB,FB,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
Stock Info,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,95.55999755859375,93.30999755859375,94.83999633789062,95.29000091552734,35236000,95.29000091552734,123.91000366210938,122.55000305175781,123.37999725341797,123.37999725341797,33618100.0,114.28649139404297,536.3900146484375,523.1199951171875,536.0,526.030029296875,5273100,526.030029296875,107.94000244140625,103.87999725341797,107.29000091552734,106.9000015258789,11155900.0,106.9000015258789,664.0999755859375,653.4099731445312,661.760009765625,659.6599731445312,1718200.0,659.6599731445312
2015-07-29,97.27999877929688,94.73999786376953,96.31999969482422,96.98999786376953,64648300,96.98999786376953,123.5,122.2699966430664,123.1500015258789,122.98999786376953,37011700.0,113.92522430419922,532.969970703125,525.02001953125,530.9199829101562,529.0,3752600,529.0,107.75,105.4000015258789,106.83000183105469,107.08000183105469,6695600.0,107.08000183105469,663.3300170898438,652.8400268554688,662.260009765625,661.4299926757812,1837800.0,661.4299926757812
2015-07-30,95.80999755859375,91.80000305175781,94.91000366210938,95.20999908447266,86211300,95.20999908447266,122.56999969482422,121.70999908447266,122.31999969482422,122.37000274658203,33628300.0,113.35094451904297,539.2000122070312,524.2899780273438,527.6500244140625,536.760009765625,3743100,536.760009765625,111.9000015258789,105.4000015258789,106.4000015258789,111.55999755859375,14229200.0,111.55999755859375,668.0499877929688,651.6900024414062,657.4400024414062,664.5599975585938,1980300.0,664.5599975585938
2015-07-31,96.33000183105469,93.94999694824219,94.94999694824219,94.01000213623047,46509000,94.01000213623047,122.63999938964844,120.91000366210938,122.5999984741211,121.30000305175781,42885000.0,112.35978698730469,542.8400268554688,534.52001953125,539.0900268554688,536.1500244140625,3025600,536.1500244140625,115.0,111.1500015258789,111.94999694824219,114.30999755859375,16349100.0,114.30999755859375,665.0,657.2000122070312,664.7000122070312,657.5,1746100.0,657.5
2015-08-03,95.08000183105469,92.80000305175781,93.52999877929688,94.13999938964844,29343100,94.13999938964844,122.56999969482422,117.5199966430664,121.5,118.44000244140625,69976000.0,109.71057891845703,540.4400024414062,529.3599853515625,537.4500122070312,535.030029296875,3014200,535.030029296875,114.5999984741211,111.77999877929688,114.5999984741211,112.55999755859375,10144800.0,112.55999755859375,666.6699829101562,657.6599731445312,657.6599731445312,664.719970703125,1567400.0,664.719970703125
2015-08-04,94.7300033569336,93.33000183105469,93.79000091552734,94.05999755859375,20136000,94.05999755859375,117.69999694824219,113.25,117.41999816894531,114.63999938964844,124138600.0,106.1906509399414,536.9500122070312,529.1599731445312,529.6900024414062,531.9000244140625,2934600,531.9000244140625,122.79000091552734,113.0,113.1500015258789,121.1500015258789,29653300.0,121.1500015258789,668.0,660.510009765625,664.3400268554688,661.280029296875,1309400.0,661.280029296875
2015-08-05,97.08999633789062,95.18000030517578,95.25,96.44000244140625,29813200,96.44000244140625,117.44000244140625,112.0999984741211,112.94999694824219,115.4000015258789,99312600.0,106.8946304321289,539.1400146484375,534.1199951171875,538.7999877929688,537.010009765625,2889400,537.010009765625,129.2899932861328,122.70999908447266,125.62000274658203,123.70999908447266,26946500.0,123.70999908447266,679.9099731445312,665.5800170898438,665.75,673.2899780273438,1822400.0,673.2899780273438
2015-08-06,98.73999786376953,94.41999816894531,97.18000030517578,95.12000274658203,42271300,95.12000274658203,116.5,114.12000274658203,115.97000122070312,115.12999725341797,52903000.0,107.12724304199219,542.739990234375,527.52001953125,539.2999877929688,529.4600219726562,3820500,529.4600219726562,128.85000610351562,122.04000091552734,126.29000091552734,126.44999694824219,24716700.0,126.44999694824219,674.75,660.72998046875,673.989990234375,670.1500244140625,2033000.0,670.1500244140625
2015-08-07,95.4000015258789,93.61000061035156,95.37999725341797,94.30000305175781,23199100,94.30000305175781,116.25,114.5,114.58000183105469,115.5199966430664,38670400.0,107.4901351928711,529.4600219726562,518.2100219726562,529.1599731445312,522.6199951171875,3969200,522.6199951171875,126.5999984741211,121.30000305175781,126.41999816894531,123.5199966430664,17360700.0,123.5199966430664,668.7999877929688,658.8699951171875,667.780029296875,664.3900146484375,1377200.0,664.3900146484375
2015-08-10,95.9000015258789,93.62999725341797,95.68000030517578,94.1500015258789,21624200,94.1500015258789,119.98999786376953,116.52999877929688,116.52999877929688,119.72000122070312,54951600.0,111.39820098876953,532.280029296875,523.0,528.52001953125,524.0,2615900,524.0,126.5,121.51000213623047,126.08999633789062,123.02999877929688,13424600.0,123.02999877929688,671.6199951171875,660.22998046875,667.0900268554688,663.1400146484375,1722900.0,663.1400146484375
